,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2022-05-23,0.42,0.43,0.4,0.41,301434382.0,301434382.0,-0.010000000000000009
2022-05-24,0.41,0.41,0.39,0.41,309724750.0,309724750.0,0.0
2022-05-25,0.41,0.41,0.39,0.41,414339536.0,414339536.0,0.0
2022-05-26,0.41,0.41,0.38,0.39,626704757.0,626704757.0,-0.019999999999999962
2022-05-27,0.39,0.4,0.38,0.38,549974246.0,549974246.0,-0.010000000000000009
2022-05-28,0.38,0.39,0.38,0.39,232996058.0,232996058.0,0.010000000000000009
2022-05-29,0.39,0.39,0.38,0.39,190159222.0,190159222.0,0.0
2022-05-30,0.39,0.42,0.39,0.42,371239281.0,371239281.0,0.02999999999999997
2022-05-31,0.42,0.43,0.41,0.42,422313633.0,422313633.0,0.0
2022-06-01,0.42,0.43,0.39,0.4,436983828.0,436983828.0,-0.019999999999999962
2022-06-02,0.4,0.41,0.39,0.41,350695114.0,350695114.0,0.009999999999999953
2022-06-03,0.41,0.41,0.38,0.39,283788604.0,283788604.0,-0.019999999999999962
2022-06-04,0.39,0.39,0.38,0.39,134031506.0,134031506.0,0.0
2022-06-05,0.39,0.4,0.39,0.4,134209649.0,134209649.0,0.010000000000000009
2022-06-06,0.4,0.41,0.39,0.4,253767142.0,253767142.0,0.0
2022-06-07,0.4,0.42,0.38,0.41,418785041.0,418785041.0,0.009999999999999953
2022-06-08,0.41,0.41,0.39,0.4,307076296.0,307076296.0,-0.009999999999999953
2022-06-09,0.4,0.4,0.4,0.4,253775318.0,253775318.0,0.0
2022-06-10,0.4,0.41,0.38,0.38,399808206.0,399808206.0,-0.020000000000000018
2022-06-11,0.38,0.39,0.36,0.36,335176735.0,335176735.0,-0.020000000000000018
2022-06-12,0.36,0.37,0.34,0.34,427316144.0,427316144.0,-0.019999999999999962
2022-06-13,0.34,0.35,0.3,0.31,1028751993.07,1028751993.07,-0.030000000000000027
2022-06-14,0.31,0.33,0.29,0.32,778418633.0,778418633.0,0.010000000000000009
2022-06-15,0.32,0.35,0.3,0.34,865192872.0,865192872.0,0.020000000000000018
2022-06-16,0.34,0.35,0.31,0.31,589816543.0,589816543.0,-0.030000000000000027
2022-06-17,0.31,0.34,0.31,0.32,430655102.0,430655102.0,0.010000000000000009
2022-06-18,0.32,0.33,0.29,0.31,555977925.71,555977925.71,-0.010000000000000009
2022-06-19,0.31,0.33,0.3,0.33,393395495.0,393395495.0,0.020000000000000018
