,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-04-25,1841.84,1877.86,1801.66,1866.1,457870.6,457870.6,24.25999999999999
2023-04-26,1866.1,1964.72,1785.0,1866.01,897709.73,897709.73,-0.08999999999991815
2023-04-27,1866.01,1940.96,1861.19,1908.68,727472.95,727472.95,42.67000000000007
2023-04-28,1908.68,1923.88,1873.94,1890.94,387630.78,387630.78,-17.74000000000001
2023-04-29,1890.93,1918.0,1883.05,1907.8,182046.14,182046.14,16.86999999999989
2023-04-30,1907.79,1939.0,1866.16,1870.09,355336.49,355336.49,-37.700000000000045
2023-05-01,1870.08,1886.49,1806.12,1830.73,445519.18,445519.18,-39.34999999999991
2023-05-02,1830.73,1881.87,1822.94,1870.08,373753.2,373753.2,39.34999999999991
2023-05-03,1870.09,1916.52,1842.64,1905.12,465185.25,465185.25,35.02999999999997
2023-05-04,1905.12,1918.26,1866.71,1877.07,354528.61,354528.61,-28.049999999999955
2023-05-05,1877.07,1998.36,1875.65,1993.3,546608.88,546608.88,116.23000000000002
2023-05-06,1993.3,2019.0,1860.0,1896.33,608106.99,608106.99,-96.97000000000003
2023-05-07,1896.33,1933.33,1867.59,1870.4,413268.84,413268.84,-25.929999999999836
2023-05-08,1870.41,1883.97,1810.73,1847.56,625316.62,625316.62,-22.850000000000136
2023-05-09,1847.55,1861.88,1830.99,1846.52,304396.19,304396.19,-1.0299999999999727
2023-05-10,1846.53,1887.47,1790.51,1840.84,639933.39,639933.39,-5.690000000000055
2023-05-11,1840.83,1842.02,1772.68,1794.3,522096.07,522096.07,-46.52999999999997
2023-05-12,1794.31,1818.63,1740.0,1807.45,565539.83,565539.83,13.1400000000001
2023-05-13,1807.45,1817.03,1785.23,1795.11,212895.44,212895.44,-12.340000000000146
2023-05-14,1795.12,1824.0,1789.82,1799.21,218101.1,218101.1,4.0900000000001455
2023-05-15,1799.2,1846.7,1785.05,1816.2,388171.93,388171.93,17.0
2023-05-16,1816.21,1832.64,1796.2,1824.21,311238.68,311238.68,8.0
2023-05-17,1824.21,1837.5,1783.68,1822.12,352097.99,352097.99,-2.0900000000001455
2023-05-18,1822.12,1831.92,1771.12,1800.56,293755.31,293755.31,-21.559999999999945
2023-05-19,1800.56,1829.54,1796.81,1812.32,243116.47,243116.47,11.759999999999991
2023-05-20,1812.31,1828.87,1807.06,1819.42,127754.43,127754.43,7.110000000000127
2023-05-21,1819.42,1828.98,1797.21,1804.91,161517.81,161517.81,-14.509999999999991
2023-05-22,1804.91,1828.27,1792.01,1817.35,237498.94,237498.94,12.439999999999827
2023-05-23,1817.36,1872.5,1815.24,1854.05,396869.61,396869.61,36.690000000000055
2023-05-24,1854.06,1854.09,1777.6,1799.89,420846.14,420846.14,-54.169999999999845
2023-05-25,1799.89,1818.81,1761.41,1805.6,350633.01,350633.01,5.709999999999809
2023-05-26,1805.61,1838.2,1796.99,1827.79,275690.69,275690.69,22.180000000000064
2023-05-27,1827.8,1836.12,1812.18,1829.89,138824.94,138824.94,2.0900000000001455
2023-05-28,1829.89,1918.65,1823.6,1908.64,378392.44,378392.44,78.75
2023-05-29,1908.64,1927.62,1873.65,1892.6,313593.49,313593.49,-16.04000000000019
2023-05-30,1892.6,1917.0,1881.19,1900.59,272665.84,272665.84,7.990000000000009
2023-05-31,1900.58,1907.13,1846.95,1873.63,319255.57,319255.57,-26.949999999999818
2023-06-01,1873.63,1889.2,1840.0,1861.78,270496.61,270496.61,-11.850000000000136
2023-06-02,1861.78,1910.0,1847.51,1906.68,313004.07,313004.07,44.90000000000009
