,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2021-07-25,18.24,18.45,17.24,18.29,1820324.3,1820324.3,0.05000000000000071
2021-07-26,18.27,20.32,18.17,18.53,4348247.68,4348247.68,0.26000000000000156
2021-07-27,18.52,19.25,17.67,18.89,2480974.86,2480974.86,0.370000000000001
2021-07-28,18.89,19.47,18.52,19.07,2170430.68,2170430.68,0.17999999999999972
2021-07-29,19.06,19.81,18.57,19.58,1868109.68,1868109.68,0.5199999999999996
2021-07-30,19.58,21.06,19.34,20.92,3593897.69,3593897.69,1.3400000000000034
2021-07-31,20.92,21.95,20.67,21.77,2671808.16,2671808.16,0.8499999999999979
2021-08-01,21.76,23.22,21.55,21.98,3359665.11,3359665.11,0.21999999999999886
2021-08-02,21.98,23.1,21.39,22.38,2704014.13,2704014.13,0.3999999999999986
2021-08-03,22.38,22.74,20.62,21.33,3057063.71,3057063.71,-1.0500000000000007
2021-08-04,21.34,23.73,20.77,23.54,2980641.04,2980641.04,2.1999999999999993
2021-08-05,23.53,25.58,22.06,25.44,3892635.15,3892635.15,1.9100000000000001
2021-08-06,25.43,27.0,24.54,26.18,2830769.77,2830769.77,0.75
2021-08-07,26.18,29.0,25.8,28.3,4007794.41,4007794.41,2.120000000000001
2021-08-08,28.3,28.7,25.95,26.72,2475928.86,2475928.86,-1.5800000000000018
2021-08-09,26.7,28.78,25.38,28.35,2965035.96,2965035.96,1.6500000000000021
2021-08-10,28.35,30.21,28.16,28.75,3851371.43,3851371.43,0.3999999999999986
2021-08-11,28.76,30.43,28.73,28.95,2863582.29,2863582.29,0.18999999999999773
2021-08-12,28.94,29.9,26.86,28.09,2795747.69,2795747.69,-0.8500000000000014
2021-08-13,28.09,30.62,27.84,30.51,2444678.04,2444678.04,2.4200000000000017
2021-08-14,30.51,30.65,28.68,30.11,2362628.66,2362628.66,-0.40000000000000213
2021-08-15,30.11,30.46,28.28,30.24,2278033.95,2278033.95,0.129999999999999
2021-08-16,30.24,31.26,28.99,29.07,2815461.96,2815461.96,-1.1699999999999982
2021-08-17,29.07,30.81,25.88,26.42,3570773.11,3570773.11,-2.6499999999999986
2021-08-18,26.4,27.35,25.37,26.31,3781661.93,3781661.93,-0.08999999999999986
2021-08-19,26.32,27.99,25.31,27.96,2838095.21,2838095.21,1.6400000000000006
2021-08-20,27.96,29.23,27.51,28.89,2616101.38,2616101.38,0.9299999999999997
2021-08-21,28.89,29.72,28.18,28.24,2358606.71,2358606.71,-0.6500000000000021
2021-08-22,28.23,29.2,27.11,28.4,1948915.56,1948915.56,0.16999999999999815
2021-08-23,28.4,29.63,28.36,28.8,2289290.63,2289290.63,0.40000000000000213
2021-08-24,28.79,29.24,26.5,26.61,2151595.88,2151595.88,-2.1799999999999997
2021-08-25,26.61,27.45,25.68,27.06,1871023.85,1871023.85,0.4499999999999993
2021-08-26,27.05,27.67,25.02,25.51,1862336.28,1862336.28,-1.5399999999999991
2021-08-27,25.52,27.48,25.02,27.41,1901520.92,1901520.92,1.8900000000000006
2021-08-28,27.43,27.6,26.62,26.81,1118897.78,1118897.78,-0.620000000000001
2021-08-29,26.84,27.67,26.15,26.78,1549825.93,1549825.93,-0.05999999999999872
2021-08-30,26.8,28.22,25.55,26.84,2436669.42,2436669.42,0.03999999999999915
2021-08-31,26.84,29.79,26.15,29.38,4325565.57,4325565.57,2.539999999999999
2021-09-01,29.37,31.39,28.69,31.35,4806428.84,4806428.84,1.9800000000000004
2021-09-02,31.33,31.41,29.48,29.93,2046183.93,2046183.93,-1.3999999999999986
2021-09-03,29.93,31.21,28.31,28.65,6213970.64,6213970.64,-1.2800000000000011
2021-09-04,28.66,29.48,28.2,28.56,2175242.4,2175242.4,-0.10000000000000142
2021-09-05,28.57,29.5,28.25,29.37,1844290.25,1844290.25,0.8000000000000007
2021-09-06,29.35,30.3,28.11,28.84,3797456.43,3797456.43,-0.5100000000000016
2021-09-07,28.84,29.33,21.0,24.32,8621704.92,8621704.92,-4.52
2021-09-08,24.34,24.98,21.35,23.15,4662434.29,4662434.29,-1.1900000000000013
2021-09-09,23.15,24.73,22.71,23.32,3345222.86,3345222.86,0.1700000000000017
2021-09-10,23.31,24.26,21.4,22.31,2591885.65,2591885.65,-1.0
2021-09-11,22.3,23.91,22.23,22.73,1530804.49,1530804.49,0.4299999999999997
2021-09-12,22.73,24.28,22.16,23.74,2233078.66,2233078.66,1.009999999999998
2021-09-13,23.74,24.05,21.37,22.66,2501947.16,2501947.16,-1.0799999999999983
2021-09-14,22.66,25.93,22.47,25.68,3503337.11,3503337.11,3.0199999999999996
2021-09-15,25.67,27.47,24.69,27.47,3780994.68,3780994.68,1.7999999999999972
2021-09-16,27.48,27.62,25.22,26.23,3604414.07,3604414.07,-1.25
2021-09-17,26.24,26.4,24.0,24.32,2953068.27,2953068.27,-1.9199999999999982
2021-09-18,24.33,25.22,23.93,24.54,1340393.94,1340393.94,0.21000000000000085
2021-09-19,24.53,24.65,23.5,23.87,1100345.52,1100345.52,-0.6600000000000001
2021-09-20,23.89,23.99,20.38,20.9,3352033.84,3352033.84,-2.990000000000002
2021-09-21,20.89,21.64,18.33,19.06,3710637.74,3710637.74,-1.8300000000000018
2021-09-22,19.07,21.66,18.85,21.62,2854102.75,2854102.75,2.5500000000000007
2021-09-23,21.62,21.84,20.88,21.5,1648480.95,1648480.95,-0.120000000000001
2021-09-24,21.5,21.63,18.17,19.65,3288006.95,3288006.95,-1.8500000000000014
2021-09-25,19.65,20.1,18.94,19.47,1934554.35,1934554.35,-0.17999999999999972
2021-09-26,19.47,24.76,17.73,24.04,12451857.7,12451857.7,4.57
2021-09-27,24.04,26.03,22.26,22.38,8594553.61,8594553.61,-1.6600000000000001
2021-09-28,22.39,25.0,22.15,23.07,8626875.1,8626875.1,0.6799999999999997
2021-09-29,23.07,24.28,22.31,23.01,4862691.46,4862691.46,-0.05999999999999872
2021-09-30,23.01,23.96,22.62,23.53,3025569.37,3025569.37,0.5199999999999996
2021-10-01,23.53,25.85,23.48,25.64,4261740.78,4261740.78,2.1099999999999994
2021-10-02,25.63,27.23,25.35,26.15,3780085.0,3780085.0,0.5199999999999996
2021-10-03,26.14,26.61,25.61,26.0,2177236.06,2177236.06,-0.14000000000000057
2021-10-04,26.01,26.02,24.22,25.34,2515850.29,2515850.29,-0.6700000000000017
2021-10-05,25.33,25.9,24.56,25.64,2093873.68,2093873.68,0.3100000000000023
2021-10-06,25.64,26.04,23.79,25.25,2400309.01,2400309.01,-0.39000000000000057
2021-10-07,25.24,26.3,24.44,25.52,2190026.23,2190026.23,0.28000000000000114
2021-10-08,25.53,26.1,24.62,24.76,1906592.17,1906592.17,-0.7699999999999996
2021-10-09,24.77,25.95,24.53,25.12,1342879.99,1342879.99,0.3500000000000014
2021-10-10,25.15,26.0,24.08,24.17,2048362.62,2048362.62,-0.9799999999999969
2021-10-11,24.15,25.13,23.5,24.16,1704951.76,1704951.76,0.010000000000001563
2021-10-12,24.16,24.18,22.3,23.46,1765179.48,1765179.48,-0.6999999999999993
2021-10-13,23.47,25.8,23.13,24.68,5582615.3,5582615.3,1.2100000000000009
2021-10-14,24.7,27.0,24.52,26.43,3397885.31,3397885.31,1.7300000000000004
2021-10-15,26.44,26.86,25.34,25.9,3090078.11,3090078.11,-0.5400000000000027
2021-10-16,25.88,27.99,25.73,27.06,3331454.33,3331454.33,1.1799999999999997
2021-10-17,27.06,27.14,25.0,25.91,2293362.81,2293362.81,-1.1499999999999986
2021-10-18,25.92,26.24,24.85,25.64,1466133.78,1466133.78,-0.28000000000000114
2021-10-19,25.64,26.31,25.23,26.02,1374496.5,1374496.5,0.379999999999999
2021-10-20,26.03,27.14,25.5,27.12,1831462.0,1831462.0,1.0899999999999999
2021-10-21,27.12,27.76,25.72,26.11,2192307.21,2192307.21,-1.0100000000000016
2021-10-22,26.1,26.86,25.33,25.63,1449568.95,1449568.95,-0.4700000000000024
2021-10-23,25.63,26.89,25.26,26.84,1344506.76,1344506.76,1.2100000000000009
2021-10-24,26.85,27.25,25.35,25.79,1501331.61,1501331.61,-1.0600000000000023
2021-10-25,25.78,26.76,25.69,26.75,1270995.28,1270995.28,0.9699999999999989
2021-10-26,26.75,28.3,26.09,26.55,3639235.64,3639235.64,-0.1999999999999993
2021-10-27,26.57,28.31,23.5,24.17,4583819.91,4583819.91,-2.3999999999999986
2021-10-28,24.16,25.37,23.91,24.89,2600717.48,2600717.48,0.7300000000000004
2021-10-29,24.9,25.81,24.66,25.53,1606744.24,1606744.24,0.6300000000000026
2021-10-30,25.54,25.6,24.4,24.91,1127205.87,1127205.87,-0.629999999999999
2021-10-31,24.91,25.28,23.99,24.98,1219438.8,1219438.8,0.07000000000000028
2021-11-01,24.99,26.46,24.13,25.62,2194938.19,2194938.19,0.6300000000000026
2021-11-02,25.61,26.31,25.14,26.18,1527314.85,1527314.85,0.5700000000000003
2021-11-03,26.17,27.07,25.34,26.89,2814244.55,2814244.55,0.7199999999999989
2021-11-04,26.89,27.46,25.24,25.73,2787074.81,2787074.81,-1.1600000000000001
2021-11-05,25.72,26.12,25.26,25.57,2024809.25,2024809.25,-0.14999999999999858
2021-11-06,25.58,25.79,24.41,25.16,1363847.43,1363847.43,-0.41999999999999815
2021-11-07,25.16,25.5,24.96,25.33,1003251.62,1003251.62,0.16999999999999815
2021-11-08,25.33,26.4,25.21,26.25,2478790.13,2478790.13,0.9200000000000017
2021-11-09,26.25,27.8,25.82,26.36,3830667.58,3830667.58,0.10999999999999943
2021-11-10,26.37,28.48,24.02,25.26,5766191.73,5766191.73,-1.1099999999999994
2021-11-11,25.26,26.12,24.9,25.38,1891206.97,1891206.97,0.11999999999999744
2021-11-12,25.38,25.7,23.89,24.56,1826909.1,1826909.1,-0.8200000000000003
2021-11-13,24.57,24.82,24.16,24.65,953384.07,953384.07,0.0799999999999983
2021-11-14,24.66,25.02,24.01,24.57,939318.21,939318.21,-0.08999999999999986
2021-11-15,24.57,25.9,23.73,24.0,1959952.97,1959952.97,-0.5700000000000003
2021-11-16,24.0,24.0,20.34,21.68,4692657.9,4692657.9,-2.3200000000000003
