,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2022-10-14,51.09,52.57,50.90,51.31,320840.53,320840.53
2022-10-15,51.30,51.67,50.26,50.39,230281.32,230281.32
2022-10-16,50.39,51.81,50.26,51.43,231209.55,231209.55
2022-10-17,51.43,52.16,51.05,51.82,219445.14,219445.14
2022-10-18,51.85,52.20,50.75,51.86,267297.77,267297.77
2022-10-19,51.86,52.02,50.76,50.94,232758.43,232758.43
2022-10-20,50.94,52.10,50.56,51.22,271491.39,271491.39
2022-10-21,51.22,51.81,49.54,51.63,305760.95,305760.95
2022-10-22,51.64,52.48,51.37,52.18,187151.43,187151.43
2022-10-23,52.18,54.05,51.82,54.03,251178.62,251178.62
2022-10-24,54.04,54.20,52.11,52.54,349594.94,349594.94
2022-10-25,52.54,56.80,52.28,55.92,560410.00,560410.00
2022-10-26,55.92,57.62,55.66,56.39,516629.57,516629.57
2022-10-27,56.38,56.69,54.50,54.75,429463.43,429463.43
2022-10-28,54.75,55.56,53.50,54.92,434316.14,434316.14
2022-10-29,54.92,57.61,54.64,56.60,551803.76,551803.76
2022-10-30,56.59,57.50,54.72,55.35,375670.76,375670.76
2022-10-31,55.36,56.42,54.00,55.01,474531.79,474531.79
2022-11-01,55.02,55.93,54.50,55.10,350582.94,350582.94
2022-11-02,55.10,62.94,54.70,60.95,2104437.29,2104437.29
2022-11-03,60.95,64.74,60.10,61.84,1374836.41,1374836.41
2022-11-04,61.84,70.47,61.66,67.58,1439948.15,1439948.15
2022-11-05,67.59,71.92,67.11,69.23,1110640.60,1110640.60
2022-11-06,69.26,71.08,67.53,68.26,805404.06,805404.06
2022-11-07,68.26,73.36,66.21,67.42,1392881.04,1392881.04
2022-11-08,67.42,68.88,54.04,57.82,2190119.40,2190119.40
2022-11-09,57.79,59.79,47.60,50.68,2103687.62,2103687.62
2022-11-10,50.69,61.33,49.57,60.56,2070234.58,2070234.58
2022-11-11,60.56,64.42,58.51,61.49,1920110.08,1920110.08
2022-11-12,61.47,61.75,58.14,59.94,768579.23,768579.23
2022-11-13,59.96,60.35,56.23,57.37,585950.81,585950.81
2022-11-14,57.37,59.31,53.24,56.70,1455419.17,1455419.17
2022-11-15,56.70,59.54,56.48,58.01,785891.46,785891.46
2022-11-16,58.00,60.19,56.72,57.49,708710.34,708710.34
2022-11-17,57.49,63.34,57.01,62.59,1125276.94,1125276.94
2022-11-18,62.59,64.00,61.58,62.62,820500.73,820500.73
2022-11-19,62.63,64.61,61.33,63.98,585835.65,585835.65
2022-11-20,63.98,64.86,60.37,62.12,738121.31,738121.31
2022-11-21,62.12,63.91,59.25,61.31,1219683.80,1219683.80
2022-11-22,61.34,71.32,61.07,70.66,2212093.04,2212093.04
