,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-01-19,0.08,0.08,0.08,0.08,691282040.0,691282040.0,0.0
2023-01-20,0.08,0.09,0.08,0.09,918640712.0,918640712.0,0.009999999999999995
2023-01-21,0.09,0.09,0.08,0.08,1633128413.0,1633128413.0,-0.009999999999999995
2023-01-22,0.08,0.09,0.08,0.09,1738503746.0,1738503746.0,0.009999999999999995
2023-01-23,0.09,0.09,0.09,0.09,1434286413.0,1434286413.0,0.0
2023-01-24,0.09,0.09,0.08,0.08,1125073702.0,1125073702.0,-0.009999999999999995
2023-01-25,0.08,0.09,0.08,0.09,1051938532.0,1051938532.0,0.009999999999999995
2023-01-26,0.09,0.09,0.08,0.09,798277511.0,798277511.0,0.0
2023-01-27,0.09,0.09,0.08,0.09,754008754.0,754008754.0,0.0
2023-01-28,0.09,0.09,0.09,0.09,1403207343.0,1403207343.0,0.0
2023-01-29,0.09,0.09,0.09,0.09,1040667224.0,1040667224.0,0.0
2023-01-30,0.09,0.09,0.08,0.09,1972615630.0,1972615630.0,0.0
2023-01-31,0.09,0.1,0.09,0.1,3424868562.0,3424868562.0,0.010000000000000009
2023-02-01,0.1,0.1,0.09,0.09,2518388790.0,2518388790.0,-0.010000000000000009
2023-02-02,0.09,0.1,0.09,0.09,1627338143.0,1627338143.0,0.0
2023-02-03,0.09,0.09,0.09,0.09,1151670924.0,1151670924.0,0.0
2023-02-04,0.09,0.1,0.09,0.1,2334550634.0,2334550634.0,0.010000000000000009
2023-02-05,0.1,0.1,0.09,0.09,1602924250.0,1602924250.0,-0.010000000000000009
2023-02-06,0.09,0.09,0.09,0.09,969968684.0,969968684.0,0.0
2023-02-07,0.09,0.09,0.09,0.09,846234202.0,846234202.0,0.0
2023-02-08,0.09,0.09,0.09,0.09,817449844.0,817449844.0,0.0
2023-02-09,0.09,0.09,0.08,0.08,1673139025.0,1673139025.0,-0.009999999999999995
2023-02-10,0.08,0.08,0.08,0.08,1054839195.0,1054839195.0,0.0
2023-02-11,0.08,0.08,0.08,0.08,409857675.0,409857675.0,0.0
2023-02-12,0.08,0.09,0.08,0.08,932273677.0,932273677.0,0.0
2023-02-13,0.08,0.09,0.08,0.08,1742593714.0,1742593714.0,0.0
2023-02-14,0.08,0.08,0.08,0.08,785765214.0,785765214.0,0.0
2023-02-15,0.08,0.09,0.08,0.09,1906740485.0,1906740485.0,0.009999999999999995
2023-02-16,0.09,0.09,0.08,0.08,1730290902.0,1730290902.0,-0.009999999999999995
2023-02-17,0.08,0.09,0.08,0.09,778220031.0,778220031.0,0.009999999999999995
2023-02-18,0.09,0.09,0.09,0.09,741187928.0,741187928.0,0.0
2023-02-19,0.09,0.09,0.09,0.09,933849140.0,933849140.0,0.0
2023-02-20,0.09,0.09,0.09,0.09,774767125.0,774767125.0,0.0
2023-02-21,0.09,0.09,0.08,0.09,984199238.0,984199238.0,0.0
2023-02-22,0.09,0.09,0.08,0.09,1754704513.0,1754704513.0,0.0
2023-02-23,0.09,0.09,0.08,0.08,708234194.0,708234194.0,-0.009999999999999995
2023-02-24,0.08,0.08,0.08,0.08,1006076322.0,1006076322.0,0.0
2023-02-25,0.08,0.08,0.08,0.08,671481093.0,671481093.0,0.0
2023-02-26,0.08,0.08,0.08,0.08,375150914.0,375150914.0,0.0
2023-02-27,0.08,0.08,0.08,0.08,535217985.0,535217985.0,0.0
2023-02-28,0.08,0.08,0.08,0.08,782956200.0,782956200.0,0.0
2023-03-01,0.08,0.08,0.08,0.08,449680442.0,449680442.0,0.0
2023-03-02,0.08,0.08,0.08,0.08,396580116.0,396580116.0,0.0
2023-03-03,0.08,0.08,0.07,0.08,1391618480.0,1391618480.0,0.0
2023-03-04,0.08,0.08,0.07,0.07,646573785.0,646573785.0,-0.009999999999999995
