,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2022-05-24,0.41,0.41,0.39,0.41,309724750.00,309724750.00
2022-05-25,0.41,0.41,0.39,0.41,414339536.00,414339536.00
2022-05-26,0.41,0.41,0.38,0.39,626704757.00,626704757.00
2022-05-27,0.39,0.40,0.38,0.38,549974246.00,549974246.00
2022-05-28,0.38,0.39,0.38,0.39,232996058.00,232996058.00
2022-05-29,0.39,0.39,0.38,0.39,190159222.00,190159222.00
2022-05-30,0.39,0.42,0.39,0.42,371239281.00,371239281.00
2022-05-31,0.42,0.43,0.41,0.42,422313633.00,422313633.00
2022-06-01,0.42,0.43,0.39,0.40,436983828.00,436983828.00
2022-06-02,0.40,0.41,0.39,0.41,350695114.00,350695114.00
2022-06-03,0.41,0.41,0.38,0.39,283788604.00,283788604.00
2022-06-04,0.39,0.39,0.38,0.39,134031506.00,134031506.00
2022-06-05,0.39,0.40,0.39,0.40,134209649.00,134209649.00
2022-06-06,0.40,0.41,0.39,0.40,253767142.00,253767142.00
2022-06-07,0.40,0.42,0.38,0.41,418785041.00,418785041.00
2022-06-08,0.41,0.41,0.39,0.40,307076296.00,307076296.00
2022-06-09,0.40,0.40,0.40,0.40,253775318.00,253775318.00
2022-06-10,0.40,0.41,0.38,0.38,399808206.00,399808206.00
2022-06-11,0.38,0.39,0.36,0.36,335176735.00,335176735.00
2022-06-12,0.36,0.37,0.34,0.34,427316144.00,427316144.00
2022-06-13,0.34,0.35,0.30,0.31,1028751993.07,1028751993.07
2022-06-14,0.31,0.33,0.29,0.32,778418633.00,778418633.00
2022-06-15,0.32,0.35,0.30,0.34,865192872.00,865192872.00
2022-06-16,0.34,0.35,0.31,0.31,589816543.00,589816543.00
2022-06-17,0.31,0.34,0.31,0.32,430655102.00,430655102.00
2022-06-18,0.32,0.33,0.29,0.31,555977925.71,555977925.71
2022-06-19,0.31,0.33,0.30,0.33,393395495.00,393395495.00
2022-06-20,0.33,0.33,0.31,0.32,356161086.00,356161086.00
2022-06-21,0.32,0.34,0.32,0.33,379691157.00,379691157.00
2022-06-22,0.33,0.33,0.32,0.32,315095128.00,315095128.00
2022-06-23,0.32,0.34,0.32,0.34,293426615.00,293426615.00
2022-06-24,0.34,0.39,0.33,0.37,610286919.00,610286919.00
2022-06-25,0.37,0.37,0.35,0.37,216676025.00,216676025.00
2022-06-26,0.37,0.38,0.36,0.36,194186812.00,194186812.00
2022-06-27,0.36,0.37,0.35,0.35,274516503.00,274516503.00
2022-06-28,0.35,0.36,0.34,0.34,316153206.00,316153206.00
2022-06-29,0.34,0.34,0.32,0.33,329827694.00,329827694.00
2022-06-30,0.33,0.33,0.31,0.33,463148646.00,463148646.00
2022-07-01,0.33,0.34,0.31,0.31,373042743.00,373042743.00
2022-07-02,0.31,0.32,0.31,0.32,179482724.00,179482724.00
2022-07-03,0.32,0.33,0.31,0.32,194701668.00,194701668.00
2022-07-04,0.32,0.33,0.31,0.33,276890244.00,276890244.00
2022-07-05,0.33,0.33,0.31,0.33,332749123.00,332749123.00
2022-07-06,0.33,0.33,0.32,0.33,295359140.00,295359140.00
2022-07-07,0.33,0.35,0.33,0.34,261063763.00,261063763.00
2022-07-08,0.34,0.36,0.34,0.34,383269941.00,383269941.00
2022-07-09,0.34,0.35,0.34,0.34,131799232.00,131799232.00
2022-07-10,0.34,0.34,0.32,0.33,240237163.00,240237163.00
2022-07-11,0.33,0.33,0.31,0.32,246538517.00,246538517.00
2022-07-12,0.32,0.32,0.31,0.31,234067778.00,234067778.00
2022-07-13,0.31,0.33,0.30,0.32,354463864.00,354463864.00
2022-07-14,0.32,0.33,0.31,0.33,323459383.00,323459383.00
2022-07-15,0.33,0.35,0.33,0.33,392883643.00,392883643.00
2022-07-16,0.33,0.36,0.33,0.35,271487176.00,271487176.00
2022-07-17,0.35,0.36,0.34,0.34,203255685.00,203255685.00
2022-07-18,0.34,0.37,0.34,0.37,404237689.00,404237689.00
2022-07-19,0.37,0.38,0.35,0.37,372635897.00,372635897.00
2022-07-20,0.37,0.38,0.36,0.36,329852165.00,329852165.00
2022-07-21,0.36,0.37,0.35,0.37,276798269.00,276798269.00
2022-07-22,0.37,0.37,0.35,0.36,231304449.00,231304449.00
2022-07-23,0.36,0.36,0.35,0.36,140472336.00,140472336.00
2022-07-24,0.36,0.37,0.36,0.36,154710249.00,154710249.00
2022-07-25,0.36,0.36,0.34,0.34,250777496.00,250777496.00
2022-07-26,0.34,0.34,0.33,0.34,248516564.00,248516564.00
2022-07-27,0.34,0.36,0.33,0.36,270820690.00,270820690.00
2022-07-28,0.36,0.38,0.35,0.37,338381188.00,338381188.00
2022-07-29,0.37,0.38,0.36,0.37,276456259.00,276456259.00
2022-07-30,0.37,0.41,0.36,0.39,388154871.00,388154871.00
2022-07-31,0.39,0.40,0.38,0.38,231814092.00,231814092.00
2022-08-01,0.38,0.39,0.37,0.38,215729685.00,215729685.00
2022-08-02,0.38,0.39,0.37,0.37,261343324.00,261343324.00
2022-08-03,0.37,0.38,0.36,0.37,212254602.00,212254602.00
2022-08-04,0.37,0.38,0.36,0.37,170860294.00,170860294.00
2022-08-05,0.37,0.38,0.37,0.38,178170072.00,178170072.00
2022-08-06,0.38,0.38,0.37,0.37,88658479.00,88658479.00
2022-08-07,0.37,0.38,0.37,0.37,94432362.00,94432362.00
2022-08-08,0.37,0.38,0.37,0.38,221476216.00,221476216.00
2022-08-09,0.38,0.38,0.36,0.37,168358813.00,168358813.00
2022-08-10,0.37,0.38,0.36,0.38,218617309.00,218617309.00
