,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2022-08-23,0.07,0.07,0.07,0.07,498322188.00,498322188.00
2022-08-24,0.07,0.07,0.07,0.07,536623127.00,536623127.00
2022-08-25,0.07,0.07,0.07,0.07,904268436.00,904268436.00
2022-08-26,0.07,0.07,0.06,0.06,1220146376.00,1220146376.00
2022-08-27,0.06,0.06,0.06,0.06,713605775.00,713605775.00
2022-08-28,0.06,0.06,0.06,0.06,533481708.00,533481708.00
2022-08-29,0.06,0.06,0.06,0.06,599200371.00,599200371.00
2022-08-30,0.06,0.06,0.06,0.06,611034766.00,611034766.00
2022-08-31,0.06,0.06,0.06,0.06,550957335.00,550957335.00
2022-09-01,0.06,0.06,0.06,0.06,567020740.00,567020740.00
2022-09-02,0.06,0.06,0.06,0.06,436731244.00,436731244.00
2022-09-03,0.06,0.06,0.06,0.06,506474868.00,506474868.00
2022-09-04,0.06,0.06,0.06,0.06,426054692.00,426054692.00
2022-09-05,0.06,0.06,0.06,0.06,394413001.00,394413001.00
2022-09-06,0.06,0.07,0.06,0.06,1030694821.00,1030694821.00
2022-09-07,0.06,0.06,0.06,0.06,572781904.00,572781904.00
2022-09-08,0.06,0.06,0.06,0.06,474879318.00,474879318.00
2022-09-09,0.06,0.06,0.06,0.06,1042646377.00,1042646377.00
2022-09-10,0.06,0.07,0.06,0.06,860544762.00,860544762.00
2022-09-11,0.06,0.07,0.06,0.06,712921351.00,712921351.00
2022-09-12,0.06,0.07,0.06,0.06,676230761.00,676230761.00
2022-09-13,0.06,0.06,0.06,0.06,1028728701.00,1028728701.00
2022-09-14,0.06,0.06,0.06,0.06,689192149.00,689192149.00
2022-09-15,0.06,0.06,0.06,0.06,674751292.00,674751292.00
2022-09-16,0.06,0.06,0.06,0.06,481393122.00,481393122.00
2022-09-17,0.06,0.06,0.06,0.06,440603174.00,440603174.00
2022-09-18,0.06,0.06,0.06,0.06,600769480.00,600769480.00
2022-09-19,0.06,0.06,0.06,0.06,624550093.00,624550093.00
2022-09-20,0.06,0.06,0.06,0.06,518174761.00,518174761.00
2022-09-21,0.06,0.06,0.06,0.06,802984616.00,802984616.00
2022-09-22,0.06,0.06,0.06,0.06,485039595.00,485039595.00
2022-09-23,0.06,0.06,0.06,0.06,1396167433.00,1396167433.00
2022-09-24,0.06,0.07,0.06,0.06,2594470223.00,2594470223.00
2022-09-25,0.06,0.06,0.06,0.06,773373679.00,773373679.00
2022-09-26,0.06,0.06,0.06,0.06,586568692.00,586568692.00
2022-09-27,0.06,0.06,0.06,0.06,580177161.00,580177161.00
2022-09-28,0.06,0.06,0.06,0.06,501123807.00,501123807.00
2022-09-29,0.06,0.06,0.06,0.06,399104883.00,399104883.00
2022-09-30,0.06,0.06,0.06,0.06,685383674.00,685383674.00
2022-10-01,0.06,0.06,0.06,0.06,716678180.00,716678180.00
2022-10-02,0.06,0.06,0.06,0.06,337873392.00,337873392.00
2022-10-03,0.06,0.06,0.06,0.06,317408954.00,317408954.00
2022-10-04,0.06,0.07,0.06,0.07,1976517731.00,1976517731.00
2022-10-05,0.07,0.07,0.06,0.06,1259186373.00,1259186373.00
2022-10-06,0.06,0.07,0.06,0.06,685939526.00,685939526.00
2022-10-07,0.06,0.06,0.06,0.06,500880550.00,500880550.00
2022-10-08,0.06,0.06,0.06,0.06,230874372.00,230874372.00
